Sample Date,Test date,WRRF Name,WRRF Abbreviation,Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population),Annotation,"Population Served, estimated ",Technology
10/06/2020,10/07/2020,Jamaica Bay,JA,1317.00,481000.00,,748737,RT-qPCR
10/06/2020,10/07/2020,Newtown Creek,NC,1448.00,796000.00,,1156473,RT-qPCR
10/06/2020,10/07/2020,North River,NR,823.00,412000.00,This sample was analyzed in duplicate. The higher of the 2 results is reported,658596,RT-qPCR
10/06/2020,10/07/2020,Oakwood Beach,OB,3108.00,1050000.00,,258731,RT-qPCR
10/06/2020,10/07/2020,Owls Head,OH,5824.00,2140000.00,,906442,RT-qPCR
10/06/2020,10/07/2020,Port Richmond,PR,1403.00,524000.00,,226167,RT-qPCR
10/06/2020,10/07/2020,Red Hook,RH,878.00,326000.00,,224029,RT-qPCR
10/06/2020,10/07/2020,Rockaway,RK,1055.00,696000.00,,120539,RT-qPCR
10/06/2020,10/07/2020,Tallman Island,TI,586.00,247000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),449907,RT-qPCR
10/06/2020,10/07/2020,Wards Island,WI,1152.00,614000.00,,1201485,RT-qPCR
10/11/2020,10/12/2020,26th Ward,26W,569.00,371000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),290608,RT-qPCR
10/11/2020,10/12/2020,Bowery Bay,BB,3340.00,1180000.00,,924695,RT-qPCR
10/11/2020,10/12/2020,Coney Island,CI,1661.00,719000.00,,682342,RT-qPCR
10/11/2020,10/12/2020,Hunts Point,HP,846.00,496000.00,,755948,RT-qPCR
10/11/2020,10/12/2020,Jamaica Bay,JA,1570.00,583000.00,This sample was analyzed in duplicate. The higher of the 2 results is reported,748737,RT-qPCR
10/11/2020,10/12/2020,Newtown Creek,NC,682.00,386000.00,,1156473,RT-qPCR
10/11/2020,10/12/2020,North River,NR,333.00,171000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),658596,RT-qPCR
10/11/2020,10/12/2020,Oakwood Beach,OB,2106.00,730000.00,,258731,RT-qPCR
10/11/2020,10/12/2020,Owls Head,OH,6038.00,2550000.00,,906442,RT-qPCR
10/11/2020,10/12/2020,Port Richmond,PR,1489.00,573000.00,,226167,RT-qPCR
10/11/2020,10/12/2020,Red Hook,RH,,,Concentration below Method Limit of Detection,224029,RT-qPCR
10/11/2020,10/12/2020,Rockaway,RK,1078.00,609000.00,,120539,RT-qPCR
10/11/2020,10/12/2020,Tallman Island,TI,626.00,279000.00,,449907,RT-qPCR
10/11/2020,10/12/2020,Wards Island,WI,600.00,321000.00,,1201485,RT-qPCR
10/13/2020,10/14/2020,26th Ward,26W,1351.00,862000.00,"No signal in 1 out of 3 RT-qPCR wells, result is obtained by averaging signal from the two remaining RT-qPCR wells",290608,RT-qPCR
10/13/2020,10/14/2020,Bowery Bay,BB,2338.00,1240000.00,,924695,RT-qPCR
10/13/2020,10/14/2020,Coney Island,CI,13884.00,7010000.00,,682342,RT-qPCR
10/13/2020,10/14/2020,Hunts Point,HP,1822.00,1410000.00,,755948,RT-qPCR
10/13/2020,10/14/2020,Jamaica Bay,JA,2170.00,867000.00,,748737,RT-qPCR
10/13/2020,10/14/2020,Newtown Creek,NC,2102.00,1420000.00,,1156473,RT-qPCR
10/13/2020,10/14/2020,North River,NR,1011.00,610000.00,,658596,RT-qPCR
10/13/2020,10/14/2020,Oakwood Beach,OB,1713.00,794000.00,,258731,RT-qPCR
10/13/2020,10/14/2020,Owls Head,OH,4672.00,1890000.00,This sample was analyzed in duplicate. The higher of the 2 results is reported,906442,RT-qPCR
10/13/2020,10/14/2020,Port Richmond,PR,2006.00,1050000.00,,226167,RT-qPCR
10/13/2020,10/14/2020,Red Hook,RH,1295.00,635000.00,,224029,RT-qPCR
10/13/2020,10/14/2020,Rockaway,RK,1044.00,689000.00,,120539,RT-qPCR
10/13/2020,10/14/2020,Tallman Island,TI,540.00,309000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),449907,RT-qPCR
10/13/2020,10/14/2020,Wards Island,WI,2066.00,1330000.00,,1201485,RT-qPCR
10/18/2020,10/19/2020,26th Ward,26W,589.00,361000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection) - Associated method blank contaminated; singal in the sample significantly higher than in the method blank,290608,RT-qPCR
10/18/2020,10/19/2020,Bowery Bay,BB,3925.00,1540000.00,Associated method blank contaminated; singal in the sample significantly higher than in the method blank,924695,RT-qPCR
10/18/2020,10/19/2020,Coney Island,CI,2615.00,1200000.00,Associated method blank contaminated; singal in the sample significantly higher than in the method blank,682342,RT-qPCR
