Sample Date,Test date,WRRF Name,WRRF Abbreviation,Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population),Annotation,"Population Served, estimated ",Technology,Is Correct Abbreviation,Expected Abbreviation
09/22/2020,09/23/2020,Coney Island,CI,271.0,125000.0,Concentration below Method Limit of Quantification (above Method Limit of Detection),682342,RT-qPCR,True,CI
09/22/2020,09/23/2020,Hunts Point,HP,293.0,169000.0,Concentration below Method Limit of Quantification (above Method Limit of Detection),755948,RT-qPCR,True,HP
09/22/2020,09/23/2020,Jamaica Bay,JA,4625.0,1660000.0,,748737,RT-qPCR,False,JB
09/22/2020,09/23/2020,Newtown Creek,NC,413.0,253000.0,Concentration below Method Limit of Quantification (above Method Limit of Detection),1156473,RT-qPCR,True,NC
09/22/2020,09/23/2020,North River,NR,,,Concentration below Method Limit of Detection,658596,RT-qPCR,True,NR
09/22/2020,09/23/2020,Oakwood Beach,OB,1525.0,533000.0,This sample was analyzed in duplicate. The higher of the 2 results is reported,258731,RT-qPCR,True,OB
09/22/2020,09/23/2020,Owls Head,OH,1011.0,363000.0,,906442,RT-qPCR,True,OH
09/22/2020,09/23/2020,Port Richmond,PR,,,"Concentration below Method Limit of DetectionNo signal is 2 out of 3 RT-qPCR wells, result in obtained by averaging signal from the remaining RT-qPCR well",226167,RT-qPCR,True,PR
09/22/2020,09/23/2020,Red Hook,RH,,,Concentration below Method Limit of Detection,224029,RT-qPCR,True,RH
09/22/2020,09/23/2020,Rockaway,RK,,,Concentration below Method Limit of Detection,120539,RT-qPCR,False,R
09/22/2020,09/23/2020,Tallman Island,TI,259.0,105000.0,Concentration below Method Limit of Quantification (above Method Limit of Detection),449907,RT-qPCR,True,TI
09/22/2020,09/23/2020,Wards Island,WI,,,Concentration below Method Limit of Detection,1201485,RT-qPCR,True,WI
09/27/2020,09/30/2020,26th Ward,26W,1960.0,1230000.0,"Original RT-qPCR (9/28/2020) failed, RT-qPCR repeated",290608,RT-qPCR,True,26W
09/27/2020,09/28/2020,Bowery Bay,BB,1416.0,516000.0,,924695,RT-qPCR,True,BB
09/27/2020,09/28/2020,Coney Island,CI,1714.0,875000.0,,682342,RT-qPCR,True,CI
09/27/2020,09/28/2020,Hunts Point,HP,781.0,473000.0,,755948,RT-qPCR,True,HP
09/27/2020,09/28/2020,Jamaica Bay,JA,753.0,289000.0,This sample was analyzed in duplicate. The higher of the 2 results is reported,748737,RT-qPCR,False,JB
09/27/2020,09/28/2020,Newtown Creek,NC,1007.0,567000.0,,1156473,RT-qPCR,True,NC
09/27/2020,09/30/2020,North River,NR,1066.0,508000.0,"Original RT-qPCR (9/28/2020) failed, RT-qPCR repeated",658596,RT-qPCR,True,NR
